Id,Label,timeset,indegree,outdegree,degree,weighted indegree,weighted outdegree,weighted degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,Authority,Hub,pageranks,componentnumber,strongcompnum,clustering,eigencentrality,modularity_class
xinmeir,xinmeir,,0,3,3,0,19,19,1,1,1,0,0,0.053723,0.000914,0,95,0,0,0
SCNU 20 张婷,SCNU 20 张婷,,0,2,2,0,8,8,1,1,1,0,0,0.034703,0.000914,0,96,0,0,0
May^_^,May^_^,,0,3,3,0,20,20,1,1,1,0,0,0.053723,0.000914,0,97,0,0,0
sharemooc14,sharemooc14,,0,3,3,0,16,16,1,1,1,0,0,0.053723,0.000914,0,98,0,0,1
mooc80599151986881146,mooc80599151986881146,,0,3,3,0,26,26,1,1,1,0,0,0.053723,0.000914,0,99,0,0,0
SCNU20郝宇捷,SCNU20郝宇捷,,0,3,3,0,26,26,1,1,1,0,0,0.053723,0.000914,0,100,0,0,2
"严思疑",严思疑,,0,3,3,0,21,21,1,1,1,0,0,0.053723,0.000914,0,101,0,0,1
"孟佳蓉",孟佳蓉,,0,2,2,0,23,23,1,1,1,0,0,0.034703,0.000914,0,102,0,0,0
SCNU20莫莉姣,SCNU20莫莉姣,,0,3,3,0,16,16,1,1,1,0,0,0.053723,0.000914,0,103,0,0,0
"穆永嘉",穆永嘉,,0,3,3,0,18,18,1,1,1,0,0,0.053723,0.000914,0,104,0,0,0
SCNU曹嵋婷,SCNU曹嵋婷,,0,3,3,0,14,14,1,1,1,0,0,0.053723,0.000914,0,105,0,0,0
gengbingyi,gengbingyi,,0,2,2,0,18,18,1,1,1,0,0,0.034703,0.000914,0,106,0,0,0
mooc33946969000628356,mooc33946969000628356,,0,3,3,0,18,18,1,1,1,0,0,0.053723,0.000914,0,107,0,0,2
SCNU李慧娟,SCNU李慧娟,,0,2,2,0,10,10,1,1,1,0,0,0.034703,0.000914,0,108,0,0,0
mooc16511085004987685,mooc16511085004987685,,0,3,3,0,21,21,1,1,1,0,0,0.053723,0.000914,0,109,0,0,2
mooc6416613650666940,mooc6416613650666940,,0,3,3,0,18,18,1,1,1,0,0,0.053723,0.000914,0,110,0,0,0
"黄玮2020201229",黄玮2020201229,,0,3,3,0,19,19,1,1,1,0,0,0.053723,0.000914,0,111,0,0,0
"白雨澄",白雨澄,,0,3,3,0,22,22,1,1,1,0,0,0.053723,0.000914,0,112,0,0,0
"陈布布的小熊",陈布布的小熊,,0,1,1,0,8,8,1,1,1,0,0,0.017418,0.000914,0,113,0,0,0
18教技黄喜,18教技黄喜,,0,3,3,0,24,24,1,1,1,0,0,0.053723,0.000914,0,114,0,0,0
SCNU20王金茜,SCNU20王金茜,,0,2,2,0,13,13,1,1,1,0,0,0.036438,0.000914,0,115,0,0,0
FERC郑贺贺,FERC郑贺贺,,0,3,3,0,24,24,1,1,1,0,0,0.053723,0.000914,0,116,0,0,1
"刘倩053",刘倩053,,0,3,3,0,18,18,1,1,1,0,0,0.053723,0.000914,0,117,0,0,2
SCNU17王立晓,SCNU17王立晓,,0,3,3,0,15,15,1,1,1,0,0,0.053723,0.000914,0,118,0,0,0
"籊籊",籊籊,,1,2,3,1,15,16,1,1,1,0,0.001672,0.036438,0.001075,0,119,0.333333,0.002334,0
"我要好好-学习",我要好好-学习,,0,3,3,0,20,20,1,1,1,0,0,0.053723,0.000914,0,120,0,0,0
SCNU20邹玉兰,SCNU20邹玉兰,,1,3,4,1,24,25,1,1,1,0.1,0.001149,0.053723,0.000974,0,121,0.166667,0.001946,0
SCNU20唐丽丽,SCNU20唐丽丽,,0,3,3,0,24,24,1,1,1,0,0,0.053723,0.000914,0,122,0,0,0
"等暖",等暖,,0,3,3,0,25,25,1,1,1,0,0,0.053723,0.000914,0,123,0,0,0
"冯文振大学慕课",冯文振大学慕课,,1,2,3,1,17,18,1,1,1,0,0.001672,0.036438,0.00107,0,124,0.333333,0.001946,1
"贾宝平新乡",贾宝平新乡,,0,3,3,0,25,25,1,1,1,0,0,0.053723,0.000914,0,125,0,0,0
"黄怡菁huangyijing",黄怡菁huangyijing,,1,3,4,1,33,34,1,1,1,0,0.001699,0.053723,0.001104,0,38,0.25,0.00408,0
"谢金兰",谢金兰,,1,3,4,1,15,16,1,1,1,0,0.001724,0.053723,0.000944,0,126,0.25,0.001946,0
"仙贝酥",仙贝酥,,0,3,3,0,28,28,1,1,1,0,0,0.053723,0.000914,0,127,0,0,0
mooc耿耿耿,mooc耿耿耿,,0,4,4,0,21,21,2,0.833333,0.9,0,0,0.053775,0.000914,0,128,0.25,0,1
Arc_en_ciel喵,Arc_en_ciel喵,,0,2,2,0,18,18,1,1,1,0,0,0.034703,0.000914,0,129,0,0,0
"辉县市第一高级中学崔海庆",辉县市第一高级中学崔海庆,,2,4,6,2,30,32,1,1,1,10.1,0.002848,0.053969,0.001164,0,40,0.233333,0.006026,2
"大旺k1229797612682757086",大旺k1229797612682757086,,1,3,4,1,26,27,1,1,1,0,0.001671,0.053723,0.001109,0,130,0.25,0.001946,0
"董文华0725",董文华0725,,0,3,3,0,19,19,1,1,1,0,0,0.053723,0.000914,0,131,0,0,2
"濮乐辉",濮乐辉,,0,3,3,0,32,32,1,1,1,0,0,0.053723,0.000914,0,132,0,0,2
"侯雪瑶",侯雪瑶,,1,3,4,1,25,26,1,1,1,0,0.001672,0.053723,0.001044,0,133,0.25,0.002375,0
SCNU20陈慧兰,SCNU20陈慧兰,,0,3,3,0,27,27,1,1,1,0,0,0.053723,0.000914,0,134,0,0,0
mooc1488245606344,mooc1488245606344,,1,3,4,1,32,33,1,1,1,0,0.001702,0.053723,0.000968,0,56,0.25,0.002334,0
"赵红伟9999",赵红伟9999,,0,3,3,0,29,29,1,1,1,0,0,0.053723,0.000914,0,135,0,0,0
2019级Melody,2019级Melody,,0,3,3,0,15,15,1,1,1,0,0,0.053723,0.000914,0,136,0,0,2
xefcwefe,xefcwefe,,0,3,3,0,30,30,1,1,1,0,0,0.053723,0.000914,0,137,0,0,0
SCNU20徐婷,SCNU20徐婷,,0,2,2,0,15,15,1,1,1,0,0,0.034703,0.000914,0,138,0,0,2
"尹丹丹1",尹丹丹1,,1,3,4,1,26,27,1,1,1,0.1,0.001149,0.053723,0.000974,0,139,0.166667,0.001946,0
"张红雨13569801308",张红雨13569801308,,0,2,2,0,12,12,1,1,1,0,0,0.034703,0.000914,0,140,0,0,0
"郭桂芳   李源屯镇西良村完小",郭桂芳   李源屯镇西良村完小,,0,3,3,0,15,15,1,1,1,0,0,0.053723,0.000914,0,141,0,0,0
mooc85003379323749273,mooc85003379323749273,,0,3,3,0,20,20,1,1,1,0,0,0.053723,0.000914,0,142,0,0,0
SCNU20周子祎,SCNU20周子祎,,0,3,3,0,25,25,1,1,1,0,0,0.053723,0.000914,0,143,0,0,0
"谢亚妮马家梁小学",谢亚妮马家梁小学,,1,2,3,1,15,16,1,1,1,0.1,0.001149,0.034703,0.000974,0,144,0.166667,0.001946,0
mooc32056098330442133,mooc32056098330442133,,0,3,3,0,44,44,1,1,1,0,0,0.053723,0.000914,0,145,0,0,0
"李彦娜新乡",李彦娜新乡,,0,3,3,0,30,30,1,1,1,0,0,0.053723,0.000914,0,146,0,0,0
Traceysfs,Traceysfs,,0,3,3,0,29,29,1,1,1,0,0,0.053723,0.000914,0,147,0,0,0
SCNU20龚淑瑶,SCNU20龚淑瑶,,1,5,6,1,36,37,1,1,1,2,0.001724,0.053827,0.000944,0,149,0.266667,0.001946,0
sinsinpan,sinsinpan,,0,3,3,0,25,25,1,1,1,0,0,0.053723,0.000914,0,150,0,0,0
"阎茂兰",阎茂兰,,0,3,3,0,31,31,1,1,1,0,0,0.053723,0.000914,0,151,0,0,2
mooc3697894026917741,mooc3697894026917741,,0,13,13,0,21,21,2,0.882353,0.933333,0,0,0.036991,0.000914,0,157,0.115385,0,0
"赵玲冉",赵玲冉,,0,3,3,0,24,24,1,1,1,0,0,0.053723,0.000914,0,158,0,0,2
gengxj,gengxj,,0,2,2,0,7,7,1,1,1,0,0,0.034703,0.000914,0,159,0,0,2
"郭守利",郭守利,,0,3,3,0,21,21,1,1,1,0,0,0.053723,0.000914,0,160,0,0,0
"辉县二中王学新",辉县二中王学新,,1,3,4,1,28,29,1,1,1,0.1,0.001149,0.053723,0.000974,0,155,0.166667,0.001946,2
hello孙利萍,hello孙利萍,,0,3,3,0,32,32,1,1,1,0,0,0.053723,0.000914,0,161,0,0,0
"芳19",芳19,,1,2,3,1,10,11,1,1,1,0,0.001672,0.034703,0.001044,0,162,0.333333,0.002375,0
"苏俊云",苏俊云,,0,3,3,0,26,26,1,1,1,0,0,0.053723,0.000914,0,163,0,0,0
"韦玉朗",韦玉朗,,1,3,4,1,18,19,1,1,1,0,0.001672,0.053723,0.001075,0,148,0.25,0.002334,0
SCNU20程有珍,SCNU20程有珍,,1,3,4,2,25,27,1,1,1,0,0.001724,0.053723,0.000944,0,164,0.25,0.001946,0
"二十一克k1264038861256712006",二十一克k1264038861256712006,,0,3,3,0,24,24,1,1,1,0,0,0.053723,0.000914,0,165,0,0,0
"赵军威",赵军威,,0,2,2,0,20,20,1,1,1,0,0,0.036438,0.000914,0,166,0,0,0
"辉县一中王珍艳",辉县一中王珍艳,,1,3,4,1,20,21,1,1,1,0,0.001671,0.053723,0.001109,0,167,0.25,0.001946,2
"苗庭斌",苗庭斌,,1,3,4,1,30,31,1,1,1,0,0.001699,0.053723,0.001104,0,39,0.25,0.00408,0
"戴春迪",戴春迪,,0,3,3,0,20,20,1,1,1,0,0,0.053723,0.000914,0,168,0,0,0
"文昌小学牛卿",文昌小学牛卿,,0,2,2,0,15,15,1,1,1,0,0,0.036438,0.000914,0,169,0,0,0
"孙苗助教",孙苗助教,,1,3,4,1,37,38,1,1,1,3,0,0.053723,0.001691,0,170,0,0.001946,0
"张育蔺ZYL",张育蔺ZYL,,1,3,4,1,29,30,1,1,1,0.1,0.001149,0.053723,0.000974,0,156,0.166667,0.001946,0
"王承冰",王承冰,,0,5,5,0,22,22,3,0.7,0.833333,0,0,0.054127,0.000914,0,171,0.25,0,1
"郭学萍-聊城市实验中学",郭学萍-聊城市实验中学,,1,3,4,1,29,30,1,1,1,1,0.001079,0.053723,0.001173,0,172,0.166667,0.001946,1
"毕存贵",毕存贵,,0,2,2,0,15,15,1,1,1,0,0,0.034703,0.000914,0,173,0,0,0
"高永玲",高永玲,,0,3,3,0,39,39,1,1,1,0,0,0.053723,0.000914,0,174,0,0,2
"胡景兰",胡景兰,,0,3,3,0,30,30,1,1,1,0,0,0.053723,0.000914,0,175,0,0,0
"张志军zzj",张志军zzj,,0,2,2,0,20,20,1,1,1,0,0,0.034703,0.000914,0,176,0,0,0
?高岩,?高岩,,0,3,3,0,22,22,1,1,1,0,0,0.053723,0.000914,0,177,0,0,0
"晋玉琴",晋玉琴,,1,3,4,1,37,38,1,1,1,0,0.001727,0.053723,0.000953,0,66,0.25,0.001946,0
"范珂12",范珂12,,0,3,3,0,26,26,1,1,1,0,0,0.053723,0.000914,0,178,0,0,0
"卖老鼠药的",卖老鼠药的,,0,4,4,0,31,31,1,1,1,0,0,0.053864,0.000914,0,179,0.25,0,0
mooc55891387341025166,mooc55891387341025166,,1,4,5,3,36,39,2,0.7,0.785714,8,0.001702,0.053881,0.000968,0,61,0.3,0.002334,2
"宁静致远爱琦琦",宁静致远爱琦琦,,1,3,4,1,25,26,1,1,1,0,0.001724,0.053723,0.000944,0,180,0.25,0.001946,0
"新乡市第十中学常星慧",新乡市第十中学常星慧,,0,3,3,0,27,27,1,1,1,0,0,0.053723,0.000914,0,181,0,0,0
"河师大附中刘佳",河师大附中刘佳,,1,3,4,1,27,28,1,1,1,0,0.001724,0.053723,0.000944,0,182,0.25,0.001946,0
"龚晨新乡美术教师",龚晨新乡美术教师,,0,3,3,0,21,21,1,1,1,0,0,0.053723,0.000914,0,183,0,0,0
"李高洁--李源屯镇西良村完小",李高洁--李源屯镇西良村完小,,1,3,4,1,18,19,1,1,1,0,0.001724,0.053723,0.000944,0,184,0.25,0.001946,0
"陈思媛069",陈思媛069,,0,3,3,0,22,22,1,1,1,0,0,0.053723,0.000914,0,185,0,0,0
"邓荔元",邓荔元,,0,3,3,0,23,23,1,1,1,0,0,0.053723,0.000914,0,186,0,0,0
"颦儿。",颦儿。,,0,3,3,0,27,27,1,1,1,0,0,0.053723,0.000914,0,187,0,0,0
"茹则耶姆图尔迪麦麦提",茹则耶姆图尔迪麦麦提,,0,3,3,0,27,27,1,1,1,0,0,0.053723,0.000914,0,188,0,0,0
Jordon9527,Jordon9527,,0,2,2,0,28,28,1,1,1,0,0,0.034703,0.000914,0,189,0,0,0
mooc41975833340646300,mooc41975833340646300,,0,2,2,0,15,15,1,1,1,0,0,0.034703,0.000914,0,190,0,0,0
SCNU20张梓涛,SCNU20张梓涛,,0,3,3,0,27,27,1,1,1,0,0,0.053723,0.000914,0,191,0,0,0
SCNU20宁怡,SCNU20宁怡,,0,3,3,0,30,30,1,1,1,0,0,0.053723,0.000914,0,192,0,0,0
SCNU20吴惠冰,SCNU20吴惠冰,,0,2,2,0,14,14,1,1,1,0,0,0.034703,0.000914,0,193,0,0,0
SCNU-20-乐志鹏,SCNU-20-乐志鹏,,0,3,3,0,22,22,1,1,1,0,0,0.053723,0.000914,0,194,0,0,0
SCNU20詹志雄,SCNU20詹志雄,,0,3,3,0,28,28,1,1,1,0,0,0.053723,0.000914,0,195,0,0,2
waynec79,waynec79,,0,3,3,0,23,23,1,1,1,0,0,0.053723,0.000914,0,196,0,0,0
SMU20170463323吴文婕,SMU20170463323吴文婕,,0,3,3,0,37,37,1,1,1,0,0,0.053723,0.000914,0,197,0,0,0
"灰烬的夜空",灰烬的夜空,,0,3,3,0,23,23,1,1,1,0,0,0.053723,0.000914,0,198,0,0,2
SCNU20林静玲,SCNU20林静玲,,0,3,3,0,25,25,1,1,1,0,0,0.053723,0.000914,0,199,0,0,0
SCNU20唐培,SCNU20唐培,,0,3,3,0,32,32,1,1,1,0,0,0.053723,0.000914,0,200,0,0,0
SCNU20  王有珍,SCNU20  王有珍,,0,3,3,0,25,25,1,1,1,0,0,0.053723,0.000914,0,201,0,0,1
"云海紫竹mooc10034051548661090",云海紫竹mooc10034051548661090,,0,3,3,0,21,21,1,1,1,0,0,0.053723,0.000914,0,202,0,0,2
"枫车渔",枫车渔,,0,3,3,0,15,15,1,1,1,0,0,0.053723,0.000914,0,203,0,0,2
"马玲666",马玲666,,0,3,3,0,26,26,1,1,1,0,0,0.053723,0.000914,0,204,0,0,0
SCNU20钟婷,SCNU20钟婷,,0,3,3,0,20,20,1,1,1,0,0,0.053723,0.000914,0,205,0,0,0
18教技邓慧琳,18教技邓慧琳,,0,2,2,0,11,11,1,1,1,0,0,0.034703,0.000914,0,206,0,0,0
SCNU20唐彬,SCNU20唐彬,,0,3,3,0,34,34,1,1,1,0,0,0.053723,0.000914,0,207,0,0,2
"袁雪敬410923198802022444",袁雪敬410923198802022444,,0,3,3,0,23,23,1,1,1,0,0,0.053723,0.000914,0,208,0,0,0
SCNU20代小瑞,SCNU20代小瑞,,0,3,3,0,30,30,1,1,1,0,0,0.053723,0.000914,0,209,0,0,2
SCNU20杨鑫茹,SCNU20杨鑫茹,,0,3,3,0,19,19,1,1,1,0,0,0.053723,0.000914,0,210,0,0,0
"冯凌云13525023623",冯凌云13525023623,,0,3,3,0,26,26,1,1,1,0,0,0.053723,0.000914,0,211,0,0,0
"韩桂玲17654540098",韩桂玲17654540098,,0,3,3,0,28,28,1,1,1,0,0,0.053723,0.000914,0,212,0,0,0
"河师大附中-谢高通",河师大附中-谢高通,,1,3,4,1,28,29,1,1,1,0,0.001724,0.053723,0.000944,0,213,0.25,0.001946,0
melonmooc136,melonmooc136,,0,3,3,0,18,18,1,1,1,0,0,0.053723,0.000914,0,214,0,0,0
"杨玲玲202016",杨玲玲202016,,0,3,3,0,24,24,1,1,1,0,0,0.053723,0.000914,0,215,0,0,0
bunubun,bunubun,,0,3,3,0,20,20,1,1,1,0,0,0.053723,0.000914,0,216,0,0,0
wenguangkeeplearning,wenguangkeeplearning,,0,3,3,0,24,24,1,1,1,0,0,0.053723,0.000914,0,217,0,0,2
SCNU20 蔡家仪,SCNU20 蔡家仪,,0,3,3,0,17,17,1,1,1,0,0,0.053723,0.000914,0,218,0,0,0
"附中吴甜甜",附中吴甜甜,,0,3,3,0,26,26,1,1,1,0,0,0.053723,0.000914,0,219,0,0,0
snower冉,snower冉,,0,3,3,0,17,17,1,1,1,0,0,0.053723,0.000914,0,220,0,0,1
"朱晨会15516554594",朱晨会15516554594,,0,3,3,0,11,11,1,1,1,0,0,0.053723,0.000914,0,221,0,0,1
"附中周炎龙",附中周炎龙,,1,3,4,1,20,21,1,1,1,0.1,0.001149,0.053723,0.000974,0,152,0.166667,0.001946,0
"李学明庄岩小学",李学明庄岩小学,,0,3,3,0,21,21,1,1,1,0,0,0.053723,0.000914,0,222,0,0,0
Stromelon,Stromelon,,0,3,3,0,22,22,1,1,1,0,0,0.053723,0.000914,0,223,0,0,2
mooc74251745949449894,mooc74251745949449894,,0,2,2,0,5,5,1,1,1,0,0,0.036438,0.000914,0,224,0,0,1
"生活是奋斗的",生活是奋斗的,,0,3,3,0,18,18,1,1,1,0,0,0.053723,0.000914,0,225,0,0,0
"芳兰-李莉莉",芳兰-李莉莉,,0,3,3,0,20,20,1,1,1,0,0,0.053723,0.000914,0,226,0,0,2
ykt64510471591379464,ykt64510471591379464,,0,2,2,0,10,10,1,1,1,0,0,0.034703,0.000914,0,227,0,0,2
SCNU20-胡诗怡,SCNU20-胡诗怡,,0,3,3,0,24,24,1,1,1,0,0,0.053723,0.000914,0,228,0,0,0
"基础部-杨可妍",基础部-杨可妍,,0,3,3,0,22,22,1,1,1,0,0,0.053723,0.000914,0,229,0,0,0
"王俊学",王俊学,,0,2,2,0,8,8,1,1,1,0,0,0.034703,0.000914,0,230,0,0,0
"田木沐",田木沐,,0,4,4,0,33,33,2,0.7,0.785714,0,0,0.053881,0.000914,0,231,0.25,0,0
"豆滢霞",豆滢霞,,0,3,3,0,19,19,1,1,1,0,0,0.053723,0.000914,0,232,0,0,0
"姚瑶033",姚瑶033,,1,3,4,1,21,22,1,1,1,0,0.001724,0.053723,0.000944,0,233,0.25,0.001946,0
"杨帅xxx",杨帅xxx,,0,3,3,0,21,21,1,1,1,0,0,0.053723,0.000914,0,234,0,0,0
"甘新华15937375654",甘新华15937375654,,0,26,26,0,39,39,4,0.641791,0.777132,0,0,0.055482,0.000914,0,240,0.103077,0,0
"李拴红",李拴红,,0,3,3,0,20,20,1,1,1,0,0,0.053723,0.000914,0,241,0,0,0
